agent_type,placement_method,game_id,agent_won,turns,agent_hits,player_hits,agent_sunk,player_sunk
random,gaussian,30,false,95,16,17,4,5
random,gaussian,31,true,95,17,16,5,4
random,gaussian,32,false,93,16,17,4,5
random,gaussian,33,false,92,15,17,4,5
random,gaussian,34,true,99,17,16,5,4
random,gaussian,35,false,86,15,17,3,5
random,gaussian,36,true,99,17,16,5,4
random,gaussian,37,false,94,15,17,3,5
random,gaussian,38,false,93,16,17,4,5
random,gaussian,39,true,98,17,16,5,4
random,gaussian,40,true,96,17,16,5,4
random,gaussian,41,true,100,17,16,5,4
random,gaussian,42,false,86,15,17,3,5
random,gaussian,43,true,94,17,14,5,2
random,gaussian,44,false,95,16,17,4,5
random,gaussian,45,true,99,17,16,5,4
random,gaussian,46,true,97,17,16,5,4
random,gaussian,47,false,93,15,17,3,5
random,gaussian,48,true,99,17,16,5,4
random,gaussian,49,false,94,16,17,4,5
random,gaussian,50,false,90,14,17,2,5
random,gaussian,51,true,90,17,15,5,4
random,gaussian,52,false,93,16,17,4,5
random,gaussian,53,true,97,17,16,5,4
random,gaussian,54,false,89,15,17,3,5
random,gaussian,55,false,95,15,17,3,5
random,gaussian,56,true,72,17,13,5,2
random,gaussian,57,true,94,17,15,5,3
random,gaussian,58,false,84,15,17,3,5
random,gaussian,59,true,98,17,16,5,4
random,gaussian,60,false,93,14,17,2,5
random,gaussian,61,false,93,15,17,4,5
random,gaussian,62,false,93,15,17,4,5
random,gaussian,63,true,99,17,16,5,4
random,gaussian,64,false,91,15,17,3,5
random,gaussian,65,false,91,16,17,4,5
random,gaussian,66,true,93,17,13,5,1
random,gaussian,67,false,83,13,17,2,5
random,gaussian,68,true,94,17,16,5,4
random,gaussian,69,true,100,17,16,5,4
random,gaussian,70,false,92,14,17,2,5
random,gaussian,71,false,84,15,17,3,5
random,gaussian,72,false,97,16,17,4,5
random,gaussian,73,false,97,16,17,4,5
random,gaussian,74,false,85,13,17,2,5
random,gaussian,75,true,92,17,16,5,4
random,gaussian,76,true,91,17,16,5,4
random,gaussian,77,true,96,17,15,5,3
random,gaussian,78,true,85,17,12,5,2
random,gaussian,79,true,100,17,16,5,4
random,gaussian,80,false,95,15,17,3,5
random,gaussian,81,true,94,17,14,5,3
random,gaussian,82,true,95,17,16,5,4
random,gaussian,83,false,93,16,17,4,5
random,gaussian,84,true,94,17,16,5,4
random,gaussian,85,true,89,17,14,5,2
random,gaussian,86,true,99,17,15,5,4
random,gaussian,87,false,88,13,17,1,5
random,gaussian,88,false,95,16,17,4,5
random,gaussian,89,false,95,16,17,4,5
random,gaussian,90,false,88,13,17,2,5
random,gaussian,91,true,87,17,16,5,4
random,gaussian,92,false,95,16,17,4,5
random,gaussian,93,false,88,12,17,1,5
random,gaussian,94,true,86,17,15,5,3
random,gaussian,95,true,91,17,16,5,4
random,gaussian,96,false,99,16,17,4,5
random,gaussian,97,false,97,16,17,4,5
random,gaussian,98,true,84,17,14,5,2
random,gaussian,99,true,100,17,16,5,4
random,spread,0,true,97,17,15,5,3
random,spread,1,false,90,13,17,2,5
random,spread,2,false,92,16,17,4,5
random,spread,3,false,92,15,17,3,5
random,spread,4,true,89,17,15,5,4
random,spread,5,true,86,17,13,5,2
random,spread,6,false,83,15,17,3,5
random,spread,7,true,96,17,16,5,4
random,spread,8,true,95,17,16,5,4
random,spread,9,true,99,17,16,5,4
random,spread,10,false,98,16,17,4,5
random,spread,11,false,98,15,17,3,5
random,spread,12,true,98,17,16,5,4
random,spread,13,true,88,17,12,5,1
random,spread,14,false,99,16,17,4,5
random,spread,15,false,97,16,17,4,5
random,spread,16,true,96,17,16,5,4
random,spread,17,true,100,17,16,5,4
random,spread,18,false,89,16,17,4,5
random,spread,19,false,97,16,17,4,5
random,spread,20,true,96,17,15,5,3
random,spread,21,true,94,17,16,5,4
