game,agent_won,player_won,agent_sunk,player_sunk,agent_hit,player_hit,turns
857,false,true,4,5,15,17,97
858,false,false,5,3,17,12,83
859,false,true,4,5,12,17,83
860,false,false,5,4,17,15,98
861,false,true,4,5,14,17,123
862,false,false,5,2,17,13,61
863,false,true,1,5,8,17,70
864,false,true,4,5,14,17,67
865,false,true,4,5,15,17,100
866,false,false,5,2,17,10,66
867,false,true,2,5,7,17,60
868,false,false,5,3,17,14,96
869,false,true,4,5,16,17,107
870,false,true,4,5,14,17,83
871,false,true,4,5,15,17,93
872,false,true,4,5,16,17,85
873,false,true,4,5,14,17,61
874,false,false,5,2,17,9,65
875,false,true,4,5,15,17,88
876,false,false,5,4,17,15,87
877,false,true,4,5,15,17,96
878,false,false,5,4,17,15,77
879,false,false,5,3,17,11,75
880,false,true,4,5,15,17,77
881,false,true,4,5,16,17,103
882,false,true,4,5,14,17,66
883,false,true,4,5,16,17,72
884,false,true,3,5,12,17,71
885,false,true,4,5,15,17,102
886,false,false,5,4,17,15,130
887,false,false,5,4,17,14,106
888,false,true,3,5,10,17,43
889,false,true,2,5,11,17,51
890,false,true,4,5,14,17,63
891,false,true,4,5,15,17,85
892,false,false,5,2,17,7,49
893,false,false,5,4,17,15,111
894,false,false,5,3,17,15,77
895,false,false,5,3,17,10,47
896,false,true,4,5,14,17,87
897,false,true,4,5,14,17,87
898,false,false,5,4,17,15,97
899,false,true,4,5,15,17,119
900,false,false,5,4,17,14,77
901,false,false,5,3,17,12,65
902,false,false,5,4,17,15,86
903,false,true,3,5,12,17,79
904,false,false,5,0,17,2,42
905,false,true,3,5,12,17,52
906,false,true,3,5,13,17,95
907,false,true,4,5,15,17,99
908,false,true,4,5,14,17,57
909,false,false,5,4,17,15,116
910,false,false,5,4,17,15,74
911,false,false,5,4,17,14,90
912,false,true,4,5,15,17,88
913,false,true,1,5,5,17,56
914,false,false,5,4,17,15,89
915,false,false,5,4,17,16,99
916,false,true,4,5,14,17,76
917,false,false,5,3,17,13,73
918,false,true,4,5,12,17,90
919,false,false,5,4,17,16,85
920,false,true,4,5,14,17,96
921,false,true,4,5,15,17,71
922,false,false,5,3,17,12,65
923,false,true,3,5,10,17,63
924,false,true,4,5,15,17,111
925,false,false,5,3,17,12,83
926,false,false,5,4,17,15,93
927,false,true,4,5,15,17,97
928,false,false,5,4,17,15,85
929,false,false,5,4,17,15,97
930,false,false,5,4,17,16,105
931,false,true,4,5,13,17,109
932,false,false,5,3,17,14,102
933,false,true,4,5,15,17,97
934,false,false,5,3,17,10,66
935,false,true,4,5,15,17,87
936,false,true,4,5,15,17,84
937,false,false,5,3,17,11,55
938,false,true,4,5,16,17,60
939,false,false,5,2,17,11,58
940,false,false,5,3,17,12,63
941,false,true,4,5,14,17,106
942,false,true,4,5,15,17,77
943,false,false,5,4,17,15,107
944,false,false,5,4,17,14,93
945,false,false,5,4,17,15,96
946,false,false,5,4,17,15,99
